session,amplitude,sa,ss,pmf,presence,response_presence,reaction_time
1,9.0,0.1781,0.06606,0.91997,0,0,0.3956
1,9.0,0.18284,0.00799,0.88883,1,0,0.398
1,9.0,0.18616,0.08285,0.83042,1,1,0.3673
1,9.0,0.17694,0.02472,1.001,1,1,0.3842
1,9.0,0.18643,0.0577,0.80247,1,1,0.2489
1,9.0,0.18027,-0.02744,0.9135,0,0,0.3207
1,9.0,0.17998,0.00979,0.88881,0,1,0.2437
1,9.0,0.17656,0.00711,0.88924,1,1,0.2853
1,9.0,0.18273,-0.04227,0.82489,1,1,0.1539
1,9.0,0.18196,-0.04444,0.92012,0,0,0.3183
1,9.0,0.18307,-0.00071,0.85239,1,1,0.2003
1,9.0,0.18374,0.06004,0.97458,1,1,0.2073
1,9.0,0.17588,-0.01642,0.99213,0,1,0.2202
1,9.0,0.18664,0.11523,0.77407,0,0,0.3196
1,9.0,0.17654,-0.05633,0.96548,0,0,0.3103
1,9.0,0.17241,-0.01054,1.05333,1,1,0.2612
1,9.0,0.18076,-0.07965,1.46656,1,1,0.2403
1,9.0,0.18255,0.04325,0.89905,0,0,0.2821
1,9.0,0.17469,0.00932,2.12799,1,1,0.2015
1,9.0,0.18505,-0.01427,0.9209,0,1,0.2899
1,9.0,0.17352,0.03515,1.1652,0,0,0.3508
1,9.0,0.17481,-0.00523,0.83494,1,1,0.2233
1,9.0,0.16763,-0.02902,1.3247,1,1,0.2239
1,9.0,0.17049,0.02729,0.98846,1,0,0.2574
1,9.0,0.17035,0.01731,0.79348,1,0,0.2962
1,9.0,0.17969,-0.01087,0.88102,0,0,0.4567
1,9.0,0.17566,-0.04194,0.85215,0,0,0.4287
1,9.0,0.17059,0.04748,0.78894,0,1,0.2868
1,9.0,0.17394,0.03291,0.98271,0,0,0.2619
1,9.0,0.16844,0.06039,0.93825,1,0,0.2428
1,9.0,0.1863,0.00089,0.83499,1,1,0.2333
1,9.0,0.17872,0.00285,0.95824,0,0,0.2433
1,9.0,0.1837,-0.05783,0.91013,0,1,0.2985
1,9.0,0.18228,-0.05018,0.91072,0,0,0.3417
1,9.0,0.17382,-0.01247,0.99582,1,1,0.3541
1,9.0,0.18056,-0.04751,0.85013,0,0,0.234
1,9.0,0.18273,-0.0857,1.09053,0,0,0.1817
1,9.0,0.17158,0.05382,2.08437,1,1,0.1912
1,9.0,0.17447,0.00461,4.47633,0,0,0.1915
1,9.0,0.17629,-0.05429,0.99581,0,0,0.2493
1,9.0,0.17614,0.01724,1.01934,1,0,0.2012
1,9.0,0.18378,-0.01212,2.02861,0,1,0.2197
1,9.0,0.1781,-0.05901,0.91889,1,1,0.2289
1,9.0,0.18042,0.00122,0.90584,1,1,0.2149
1,9.0,0.16864,-0.00955,0.9489,1,0,0.2305
1,9.0,0.17375,-0.06113,0.82214,1,0,0.0
1,9.0,0.16838,-0.0443,0.89368,0,1,0.2992
1,9.0,0.17095,0.01229,1.43628,0,0,0.3238
1,9.0,0.17875,-0.01099,0.92368,0,1,0.3329
1,9.0,0.17871,0.00604,2.89867,1,1,0.35
1,9.0,0.16891,-0.06266,0.99531,1,0,0.296
1,9.0,0.17478,0.04555,0.88471,1,0,0.3498
1,9.0,0.17204,-0.00695,1.03741,0,0,0.3098
1,9.0,0.18658,0.0331,0.8372,0,0,0.2846
1,9.0,0.17949,0.00999,0.80773,0,0,0.272
1,9.0,0.17426,-0.01494,0.95869,1,1,0.2422
1,9.0,0.17501,-0.02671,1.38561,1,1,0.2517
1,9.0,0.18587,0.03004,1.24153,0,0,0.2089
1,9.0,0.17492,0.03561,1.15614,0,0,0.2242
1,9.0,0.17462,-0.03983,0.94283,1,1,0.2224
1,9.0,0.17645,0.01865,1.70531,0,0,0.2751
1,9.0,0.16757,-0.00757,0.86114,0,0,0.4927
1,9.0,0.18237,-0.01249,0.84833,1,1,0.2674
1,9.0,0.17749,0.00653,2.16766,0,0,0.1948
1,9.0,0.17889,-0.01117,0.85103,0,1,0.2735
1,9.0,0.17996,0.04038,1.11396,1,1,0.265
1,9.0,0.1819,-0.01131,1.84923,1,1,0.2948
1,9.0,0.17498,-0.00881,0.92864,0,0,0.2549
1,9.0,0.17716,-0.03026,3.12064,0,0,0.3304
1,9.0,0.18224,-0.02624,1.07112,0,0,0.2695
1,9.0,0.18375,0.08256,0.88198,1,1,0.4028
1,9.0,0.17823,0.01555,1.26215,1,1,0.2368
1,9.0,0.18571,-0.03734,0.90525,1,1,0.2183
1,9.0,0.18089,-0.0397,0.90556,0,1,0.0
1,9.0,0.18141,0.01145,0.94674,1,0,0.5
1,9.0,0.17604,0.04373,0.86221,0,0,0.2551
1,9.0,0.17004,-0.00148,2.73212,0,0,0.3584
1,9.0,0.17836,-0.00155,0.80864,1,1,0.2379
1,9.0,0.17548,-0.04637,0.74732,1,1,0.2608
1,9.0,0.17492,0.03561,1.15614,1,1,0.2482
1,9.0,0.18312,0.01275,1.09405,0,0,0.3539
1,9.0,0.16901,-0.01526,1.13295,0,0,0.2473
1,9.0,0.17133,0.03331,0.96044,0,1,0.3203
1,9.0,0.18548,0.07001,0.87201,1,1,0.2635
1,9.0,0.17988,-0.00815,0.90753,1,0,0.1942
1,9.0,0.18453,0.06302,0.84574,0,0,0.2694
1,9.0,0.17699,-0.00762,0.93299,0,0,0.2845
1,9.0,0.17941,-0.01358,0.88263,1,1,0.3678
1,9.0,0.17646,-0.06165,1.42908,1,1,0.238
1,9.0,0.18029,0.02249,0.7976,1,1,0.25
1,9.0,0.17873,0.06361,0.94613,1,1,0.2491
1,9.0,0.17085,0.00764,1.28343,1,1,0.1676
1,9.0,0.17459,-0.03222,0.92015,1,1,0.1517
1,9.0,0.18418,-0.02275,0.97729,0,0,0.2713
1,9.0,0.18238,0.02673,1.05678,0,0,0.3575
1,9.0,0.17996,-0.05205,0.82595,0,0,0.2607
1,9.0,0.18682,-0.01341,2.40387,0,0,0.2844
1,9.0,0.18062,0.017,1.0743,1,1,0.2512
1,9.0,0.18522,-0.00248,0.92338,1,1,0.3545
1,9.0,0.17956,-0.06843,0.94047,0,0,0.3267
1,9.0,0.18143,0.03257,0.81772,1,1,0.3928
1,9.0,0.18283,-0.05125,0.78361,1,0,0.4233
1,9.0,0.17377,-0.02812,0.87063,0,0,0.2779
1,9.0,0.17501,-0.05763,1.0039,0,1,0.4053
1,9.0,0.17789,0.04957,1.40879,0,0,0.3018
1,9.0,0.17192,-0.0093,1.14009,1,1,0.2596
1,9.0,0.18267,-0.02849,0.88244,1,1,0.2674
1,9.0,0.17817,0.01017,0.87774,1,1,0.2419
1,9.0,0.17517,0.03673,0.78609,0,0,0.3209
1,9.0,0.18152,0.0219,0.94914,0,0,0.3351
1,9.0,0.18455,0.03076,1.01234,0,0,0.3517
1,9.0,0.18035,0.0331,0.91215,1,1,0.2864
1,9.0,0.18032,-0.00729,1.50777,0,0,0.2377
1,9.0,0.17472,0.02065,1.36377,0,0,0.2384
1,9.0,0.18278,-0.01961,0.81641,0,0,0.2762
1,9.0,0.17618,0.03047,0.87467,1,1,0.2624
1,9.0,0.17267,0.00379,0.91046,0,0,0.2022
1,9.0,0.1782,-0.02043,0.90408,0,0,0.3128
1,9.0,0.18253,-0.00613,0.76465,1,1,0.2167
1,9.0,0.17491,-0.01291,0.84473,0,0,0.2699
1,9.0,0.17406,0.05132,0.93065,0,1,0.2216
1,9.0,0.17796,-0.0323,0.88598,0,0,0.4684
1,9.0,0.17636,-0.02494,1.1927,1,1,0.4005
1,9.0,0.18413,0.0221,1.11583,0,0,0.3144
1,9.0,0.1736,-0.02676,1.00873,1,1,0.2013
1,9.0,0.18421,0.00216,0.95835,1,1,0.3759
1,9.0,0.17179,0.0333,4.60229,1,1,0.2314
1,9.0,0.17105,-0.04149,2.14726,0,0,0.318
1,9.0,0.18376,0.01175,1.70812,1,1,0.2674
1,9.0,0.18599,-0.02106,0.99468,0,0,0.2768
1,9.0,0.17024,-0.00092,0.90371,0,0,0.3877
1,9.0,0.17113,-0.05624,0.83666,1,1,0.2739
1,9.0,0.18057,0.05399,0.96962,1,1,0.2099
1,9.0,0.17928,-0.03149,1.30969,0,0,0.3018
1,9.0,0.18554,0.03344,1.02595,1,1,0.4075
1,9.0,0.18272,0.02964,0.81553,1,1,0.2791
1,9.0,0.16747,0.0411,0.9656,0,0,0.2774
1,9.0,0.18506,0.03203,0.89618,1,1,0.2129
1,9.0,0.18491,0.01862,0.82916,1,1,0.4116
1,9.0,0.16949,0.03547,1.34147,0,0,0.2431
1,9.0,0.17454,-0.02899,0.92583,0,0,0.2598
1,9.0,0.18074,0.01661,0.80687,1,1,0.2727
1,9.0,0.18605,0.04548,1.14801,1,1,0.2635
1,9.0,0.16773,-0.04067,4.18325,0,0,0.2867
1,9.0,0.18132,-0.03669,0.92466,1,1,0.2455
1,9.0,0.17521,0.00166,0.87191,0,0,0.4123
1,9.0,0.17156,0.01111,1.07956,1,1,0.2874
1,9.0,0.17164,-0.03632,0.808,0,0,0.291
1,9.0,0.18408,0.01519,0.85969,1,0,0.2828
1,9.0,0.17916,-0.09155,0.94986,1,1,0.3287
1,9.0,0.17875,0.00977,2.25394,1,1,0.3446
1,9.0,0.16794,-0.00813,0.88918,0,0,0.2647
1,9.0,0.18179,-0.05487,1.09361,0,0,0.2532
1,9.0,0.18663,-0.01841,2.93892,0,0,0.309
1,9.0,0.17937,0.04892,0.84114,0,0,0.2519
1,9.0,0.1784,0.01707,0.87706,0,0,0.1883
1,9.0,0.17213,-0.03957,0.93439,0,0,0.1864
1,9.0,0.18189,-0.01501,1.02616,1,1,0.2892
1,9.0,0.18188,-0.06874,1.24465,0,0,0.1818
1,9.0,0.17273,0.0557,0.8883,1,1,0.3991
1,9.0,0.18014,-0.00285,0.76516,0,0,0.206
1,9.0,0.17155,0.00391,1.93862,0,0,0.2141
1,9.0,0.16913,-0.04037,0.86686,1,1,0.3649
1,9.0,0.1862,-0.01358,1.82902,0,1,0.3555
1,9.0,0.1833,0.06421,1.00327,1,1,0.2177
1,9.0,0.18585,-0.00174,1.51546,0,0,0.2992
1,9.0,0.17721,0.00423,1.46935,0,0,0.2817
1,9.0,0.17972,0.03871,2.01794,1,1,0.2647
1,9.0,0.17893,-0.02258,0.88744,1,1,0.2612
1,9.0,0.17993,0.01301,1.06105,1,1,0.2629
1,9.0,0.17116,0.02551,0.77228,0,0,0.2302
1,9.0,0.18093,0.04701,0.80427,0,1,0.2587
1,9.0,0.17881,0.01177,0.88864,1,1,0.3883
1,9.0,0.18159,-0.02226,0.84196,1,1,0.3894
1,9.0,0.18547,-0.06754,0.87806,1,1,0.2196
1,9.0,0.18629,-0.0503,1.21681,1,1,0.2347
1,9.0,0.17628,-0.02217,1.2539,0,1,0.24
1,9.0,0.17248,-0.0506,3.07198,1,1,0.2485
1,9.0,0.17219,0.00985,1.15901,1,1,0.2515
1,9.0,0.17788,0.01367,1.07549,0,0,0.3657
1,9.0,0.16746,0.00184,0.81857,1,1,0.2855
1,9.0,0.17969,-0.02825,0.74728,1,1,0.2776
1,9.0,0.18336,-0.04352,0.82161,1,1,0.3953
1,9.0,0.18327,-0.01389,1.31404,0,0,0.417
1,9.0,0.18441,-0.02498,0.92593,1,1,0.2101
1,9.0,0.1813,0.06761,0.82274,0,0,0.4251
1,9.0,0.18121,0.00044,0.83887,0,1,0.3039
1,9.0,0.18198,0.00171,0.7894,0,0,0.3212
1,9.0,0.16954,0.01878,0.92843,0,0,0.2469
1,9.0,0.17189,0.05337,5.094,1,1,0.2776
1,9.0,0.1858,-0.09306,0.85372,0,0,0.2908
1,9.0,0.18325,-0.03311,0.83571,0,0,0.2842
1,9.0,0.16745,-0.00113,0.84273,0,0,0.4999
1,9.0,0.18226,-0.00025,0.89712,1,1,0.3142
1,9.0,0.16812,-0.0561,0.82171,1,1,0.3184
1,9.0,0.18684,-0.01058,1.31313,1,1,0.344
1,9.0,0.18121,-0.06591,1.05529,0,0,0.2875
1,9.0,0.17131,-0.05062,1.32281,1,1,0.1986
1,9.0,0.16773,-0.00315,0.92653,1,1,0.2815
1,9.0,0.18251,-0.00443,7.10064,1,1,0.2448
1,15.0,0.36531,0.09901,1.40997,1,1,0.2684
1,15.0,0.36192,-0.20175,0.97894,0,0,0.2659
1,15.0,0.37086,-0.04065,1.30434,0,0,0.186
1,15.0,0.3959,-0.09994,1.10705,0,0,0.2414
1,15.0,0.39416,0.06595,0.95315,0,0,0.2081
1,15.0,0.39322,0.03689,1.33227,1,1,0.2155
1,15.0,0.37194,-0.0473,0.81753,1,0,0.2546
1,15.0,0.39396,-0.07221,1.63638,1,1,0.1566
1,15.0,0.36126,0.0964,1.02372,1,0,0.2929
1,15.0,0.37123,-0.02117,1.21221,1,1,0.2362
1,15.0,0.38094,0.06217,0.79826,1,1,0.171
1,15.0,0.36212,0.02198,1.55947,1,1,0.1693
1,15.0,0.36827,-0.13415,1.83427,0,0,0.233
1,15.0,0.37598,-0.03513,1.90123,1,1,0.2078
1,15.0,0.36715,-0.02709,1.03414,0,0,0.1986
1,15.0,0.38361,0.20347,1.53461,1,1,0.2004
1,15.0,0.38535,0.10836,0.82585,0,0,0.1487
1,15.0,0.37088,0.0541,0.92987,0,0,0.4193
1,15.0,0.4024,0.06609,1.04191,0,1,0.2188
1,15.0,0.36911,-0.06174,1.11366,0,0,0.388
1,15.0,0.36182,0.10105,0.85715,0,0,0.4092
1,15.0,0.38763,0.08579,1.19512,1,1,0.3043
1,15.0,0.36193,-0.12293,1.00503,1,0,0.167
1,15.0,0.37503,-0.02414,2.41298,0,0,0.2959
1,15.0,0.37464,0.20667,1.17193,0,0,0.0853
1,15.0,0.36204,0.08085,1.15435,1,0,0.1722
1,15.0,0.37348,-0.07689,1.1001,1,0,0.3121
1,15.0,0.36892,-0.02097,1.24396,0,0,0.4356
1,15.0,0.39019,0.05884,0.75297,0,0,0.3856
1,15.0,0.39247,0.05703,0.83219,1,1,0.4997
1,15.0,0.37016,0.00626,1.12461,1,1,0.357
1,15.0,0.37121,0.11252,1.06092,1,1,0.2394
1,15.0,0.36856,0.02035,1.06297,0,0,0.2785
1,15.0,0.38852,0.15244,0.88615,1,0,0.2532
1,15.0,0.36683,0.06952,1.98833,1,1,0.2647
1,15.0,0.3673,-0.10238,1.39646,0,0,0.2599
1,15.0,0.38689,-0.1265,1.17816,1,1,0.3285
1,15.0,0.36254,-0.0106,1.10504,1,1,0.1858
1,15.0,0.37559,0.2673,1.0426,0,1,0.4805
1,15.0,0.38286,-0.15418,0.93615,0,0,0.3276
1,15.0,0.37183,0.14485,1.00891,1,1,0.2066
1,15.0,0.37557,-0.22444,1.14246,0,0,0.3414
1,15.0,0.39434,-0.12891,1.11241,0,0,0.317
1,15.0,0.38469,0.04392,1.26568,0,0,0.3313
1,15.0,0.39297,-0.09221,1.68968,0,0,0.3224
1,15.0,0.38172,0.10583,1.03307,0,0,0.2385
1,15.0,0.39222,0.06165,0.82094,1,1,0.2893
1,15.0,0.37448,0.1515,0.93287,1,1,0.2642
